contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Ticker,Expiry,Option_Type,Market_Price
AAPL260720C00307500,2026-07-20 15:48:48+00:00,307.5,17.87,17.15,18.7,-6.8199997,-27.622519,7,44,0.9257819921875,True,REGULAR,USD,AAPL,2026-07-20,Call,17.924999999999997
AAPL260720C00310000,2026-07-20 15:57:17+00:00,310.0,16.75,14.65,15.75,-7.2800007,-30.295465,22,282,0.7656273437500001,True,REGULAR,USD,AAPL,2026-07-20,Call,15.2
AAPL260720C00312500,2026-07-20 15:52:31+00:00,312.5,13.5,12.45,13.55,-7.0,-34.146343,31,377,0.7446314599609375,True,REGULAR,USD,AAPL,2026-07-20,Call,13.0
AAPL260720C00315000,2026-07-20 15:44:27+00:00,315.0,10.88,9.7,10.6,-7.9000006,-42.06603,65,3996,0.5576216113281252,True,REGULAR,USD,AAPL,2026-07-20,Call,10.149999999999999
AAPL260720C00317500,2026-07-20 16:11:43+00:00,317.5,7.65,7.55,8.15,-8.85,-53.636368,67,970,0.5590864404296876,True,REGULAR,USD,AAPL,2026-07-20,Call,7.85
AAPL260720C00320000,2026-07-20 16:12:49+00:00,320.0,5.3,4.8,5.6,-8.96,-62.8331,365,1113,0.4309138940429688,True,REGULAR,USD,AAPL,2026-07-20,Call,5.199999999999999
AAPL260720C00322500,2026-07-20 16:16:54+00:00,322.5,2.95,2.71,2.81,-9.28,-75.87899,1663,950,0.252937158203125,True,REGULAR,USD,AAPL,2026-07-20,Call,2.76
AAPL260720C00325000,2026-07-20 16:18:12+00:00,325.0,1.08,1.02,1.07,-8.42,-88.63158,27045,1080,0.20020331054687499,False,REGULAR,USD,AAPL,2026-07-20,Call,1.045
AAPL260720C00327500,2026-07-20 16:18:00+00:00,327.5,0.22,0.21,0.22,-6.9100003,-97.05057,72150,1198,0.17285983398437502,False,REGULAR,USD,AAPL,2026-07-20,Call,0.215
AAPL260720C00330000,2026-07-20 16:18:10+00:00,330.0,0.06,0.06,0.07,-5.07,-98.63813,81753,4268,0.1992267578125,False,REGULAR,USD,AAPL,2026-07-20,Call,0.065
AAPL260720C00332500,2026-07-20 16:17:07+00:00,332.5,0.03,0.03,0.04,-3.5,-98.870056,47934,4140,0.242195078125,False,REGULAR,USD,AAPL,2026-07-20,Call,0.035
AAPL260720C00335000,2026-07-20 16:18:13+00:00,335.0,0.02,0.01,0.02,-2.22,-99.55157,32365,5344,0.273444765625,False,REGULAR,USD,AAPL,2026-07-20,Call,0.015
AAPL260720C00337500,2026-07-20 16:15:01+00:00,337.5,0.02,0.01,0.02,-1.23,-98.4,17831,3195,0.32813171874999997,False,REGULAR,USD,AAPL,2026-07-20,Call,0.015
AAPL260720C00340000,2026-07-20 16:17:31+00:00,340.0,0.01,0.0,0.01,-0.74,-98.666664,17264,2777,0.35156898437499995,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00342500,2026-07-20 15:38:51+00:00,342.5,0.01,0.0,0.01,-0.4,-97.560974,2454,1985,0.398443515625,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00345000,2026-07-20 15:46:18+00:00,345.0,0.01,0.0,0.01,-0.22,-95.652176,2384,1925,0.445318046875,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00347500,2026-07-20 16:11:40+00:00,347.5,0.01,0.0,0.01,-0.12,-92.30769,924,1265,0.49219257812500006,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00350000,2026-07-20 16:10:42+00:00,350.0,0.01,0.0,0.01,-0.060000002,-85.71429,773,2903,0.500005,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00352500,2026-07-20 16:10:42+00:00,352.5,0.01,0.0,0.01,-0.04,-80.00001,281,182,0.5468795312500001,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00355000,2026-07-20 16:10:42+00:00,355.0,0.01,0.0,0.01,-0.02,-66.66667,23,853,0.5937540625000001,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00357500,2026-07-20 16:10:42+00:00,357.5,0.01,0.0,0.01,0.0,0.0,12,11,0.6250037500000001,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00360000,2026-07-20 16:10:42+00:00,360.0,0.01,0.0,0.01,-0.01,-50.0,28,848,0.6718782812500002,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00362500,2026-07-17 19:58:45+00:00,362.5,0.01,0.0,0.01,0.0,0.0,91,81,0.7187528125,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00365000,2026-07-17 19:47:20+00:00,365.0,0.01,0.0,0.01,-0.01,-50.0,1,47,0.7500025,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00370000,2026-07-17 19:51:16+00:00,370.0,0.02,0.0,0.01,0.0,0.0,41,44,0.8125018749999999,False,REGULAR,USD,AAPL,2026-07-20,Call,0.02
AAPL260720C00375000,2026-07-17 19:42:11+00:00,375.0,0.01,0.0,0.01,0.0,0.0,11,15,0.9062509375,False,REGULAR,USD,AAPL,2026-07-20,Call,0.01
AAPL260720C00380000,2026-07-15 15:01:01+00:00,380.0,0.03,0.0,0.01,0.0,0.0,1,1,0.9687503125,False,REGULAR,USD,AAPL,2026-07-20,Call,0.03
