contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Ticker,Expiry,Option_Type,Market_Price
AAPL260720P00317500,2026-07-20 16:16:37+00:00,317.5,0.02,0.01,0.02,-0.09,-90.0,12141.0,3997.0,0.19336744140625,False,REGULAR,USD,AAPL,2026-07-20,Put,0.015
AAPL260720P00320000,2026-07-20 16:17:54+00:00,320.0,0.06,0.04,0.06,-0.11,-64.70588,29547.0,4447.0,0.1601646484375,False,REGULAR,USD,AAPL,2026-07-20,Put,0.05
AAPL260720P00322500,2026-07-20 16:17:44+00:00,322.5,0.22,0.21,0.22,-0.06999999,-25.0,53211.0,4051.0,0.12549702636718751,False,REGULAR,USD,AAPL,2026-07-20,Put,0.215
AAPL260720P00325000,2026-07-20 16:18:15+00:00,325.0,0.85,0.84,0.85,0.39000002,84.78261,104168.0,13557.0,0.07032179687500001,True,REGULAR,USD,AAPL,2026-07-20,Put,0.845
AAPL260720P00327500,2026-07-20 16:17:51+00:00,327.5,2.71,2.4,2.5,1.8900001,230.48784,71320.0,3885.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,2.45
AAPL260720P00330000,2026-07-20 16:15:52+00:00,330.0,4.89,4.5,5.0,3.5,251.79858,30243.0,6098.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,4.75
AAPL260720P00332500,2026-07-20 16:05:31+00:00,332.5,7.25,7.1,7.6,4.95,215.21736,6889.0,3372.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,7.35
AAPL260720P00335000,2026-07-20 16:13:32+00:00,335.0,10.0,9.45,10.55,6.45,181.69012,1054.0,22579.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,10.0
AAPL260720P00337500,2026-07-20 15:13:06+00:00,337.5,12.26,11.45,12.85,7.01,133.5238,103.0,1313.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,12.149999999999999
AAPL260720P00340000,2026-07-20 16:13:44+00:00,340.0,15.0,13.4,15.1,8.25,122.22222,42.0,332.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,14.25
AAPL260720P00342500,2026-07-20 14:45:31+00:00,342.5,15.0,16.55,18.2,5.8599997,64.11378,7.0,163.0,0.523442265625,True,REGULAR,USD,AAPL,2026-07-20,Put,17.375
AAPL260720P00345000,2026-07-20 15:20:37+00:00,345.0,20.51,19.7,20.2,9.41,84.77477,12.0,182.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,19.95
AAPL260720P00347500,2026-07-20 13:31:11+00:00,347.5,15.8,21.65,23.2,2.0500002,14.909092,5.0,137.0,0.6367223828125,True,REGULAR,USD,AAPL,2026-07-20,Put,22.424999999999997
AAPL260720P00350000,2026-07-20 14:50:39+00:00,350.0,23.0,24.15,25.15,7.0,43.75,3.0,50.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,24.65
AAPL260720P00352500,2026-07-20 13:30:03+00:00,352.5,20.3,26.9,28.1,-0.10000038,-0.49019796,5.0,66.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,27.5
AAPL260720P00355000,2026-07-20 14:25:24+00:00,355.0,28.3,28.9,30.25,6.539999,30.055141,1.0,49.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,29.575
AAPL260720P00357500,2026-07-20 15:35:43+00:00,357.5,31.86,31.3,33.35,6.8600006,27.440002,6.0,,1.0078174609375,True,REGULAR,USD,AAPL,2026-07-20,Put,32.325
AAPL260720P00360000,2026-07-20 15:35:43+00:00,360.0,34.25,34.05,35.35,4.620001,15.592309,6.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,2026-07-20,Put,34.7
